,BusNum,BusNum:1,LineCircuit,LineR,LineX,BranchDeviceType,LineStatus,Latitude,Longitude,Latitude:1,Longitude:1,BusNomVolt,LineLimitPercent,LineMVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lim MVA C
16,12,216,1,0.00396,0.03805,Line,Closed,34.64,-82.41,34.52,-82.48,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,13,12,1,0.00062,0.00313,Line,Closed,34.64,-82.41,34.64,-82.41,13.8,0,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,15,230,1,0.01089,0.10461,Line,Closed,34.79,-82.9,34.44,-83.05,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,15,369,1,0.00185,0.01701,Line,Closed,34.79,-82.9,34.75,-82.93,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,15,14,1,0.00021,0.01122,Transformer,Closed,34.79,-82.9,34.79,-82.9,138,0,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,15,91,1,0.0048,0.04609,Line,Closed,34.79,-82.9,34.64,-82.94,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,15,473,1,0.00922,0.08462,Line,Closed,34.79,-82.9,34.76,-83.28,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,16,14,1,0.00033,0.01202,Transformer,Closed,34.79,-82.9,34.79,-82.9,345,0,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,17,14,2,0.00035,0.01438,Transformer,Closed,34.79,-82.9,34.79,-82.9,138,0,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,17,14,1,0.00028,0.01438,Transformer,Closed,34.79,-82.9,34.79,-82.9,138,0,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,18,14,1,0.00142,0.05115,Transformer,Closed,34.79,-82.9,34.79,-82.9,138,0,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,19,112,1,0.00472,0.04534,Line,Closed,33.81,-81.59,33.92,-81.45,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,19,272,1,0.00229,0.02202,Line,Closed,33.81,-81.59,33.78,-81.68,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,20,19,1,0.00054,0.00389,Line,Closed,33.81,-81.59,33.81,-81.59,138,0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,21,112,1,0.00509,0.0489,Line,Closed,34,-81.27,33.92,-81.45,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,21,196,1,0.00221,0.02025,Line,Closed,34,-81.27,34.06,-81.22,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,22,21,1,0.00059,0.00317,Line,Closed,34,-81.27,34,-81.27,138,0,254.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,23,464,1,0.00095,0.01253,Line,Closed,34.93,-82.1,34.83,-81.65,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,23,386,1,0.00164,0.02385,Line,Closed,34.93,-82.1,34.68,-82.84,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,23,471,1,0.00053,0.00704,Line,Closed,34.93,-82.1,34.88,-81.84,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,24,23,1,0.00033,0.01764,Transformer,Closed,34.93,-82.1,34.93,-82.1,138,0,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,24,360,1,0.00237,0.02271,Line,Closed,34.93,-82.1,35,-82.13,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,25,24,1,0.00061,0.00363,Line,Closed,34.93,-82.1,34.93,-82.1,138,0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,26,24,1,0.00056,0.00373,Line,Closed,34.93,-82.1,34.93,-82.1,345,0,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,27,68,1,0.00561,0.05385,Line,Closed,34.5,-82.05,34.65,-81.9,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,27,382,1,0.00337,0.03091,Line,Closed,34.5,-82.05,34.59,-82.12,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,28,27,1,0.00069,0.00396,Line,Closed,34.5,-82.05,34.5,-82.05,138,0,108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,29,491,1,0.00561,0.05384,Line,Closed,33.93,-80.95,34.1,-81.04,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,30,29,1,0.00062,0.0033,Line,Closed,33.93,-80.95,33.93,-80.95,138,0,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,31,85,1,0.0053,0.05093,Line,Closed,33.48,-81.51,33.65,-81.6,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,31,189,1,0.00571,0.0548,Line,Closed,33.48,-81.51,33.66,-81.42,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,31,218,1,0.00827,0.07945,Line,Closed,33.48,-81.51,33.61,-81.82,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,31,205,1,0.0078,0.07487,Line,Closed,33.48,-81.51,33.52,-81.83,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,32,31,1,0.00063,0.00343,Line,Closed,33.48,-81.51,33.48,-81.51,13.8,0,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,34,33,1,0.00062,0.00328,Line,Closed,34.15,-81.51,34.15,-81.51,13.8,0,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,35,399,1,0.00564,0.05412,Line,Closed,33.61,-81.98,33.45,-81.86,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,36,35,1,0.00058,0.00303,Line,Closed,33.61,-81.98,33.61,-81.98,138,0,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,37,176,1,0.00304,0.02918,Line,Closed,34.77,-81.01,34.71,-80.92,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,38,37,1,0.00055,0.00382,Line,Closed,34.77,-81.01,34.77,-81.01,138,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,39,428,1,0.00052,0.0069,Line,Closed,35.11,-81.71,35.11,-81.97,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,39,332,1,0.0004,0.00579,Line,Closed,35.11,-81.71,34.98,-81.83,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
57,40,131,1,0.00291,0.02668,Line,Closed,35.11,-81.71,35.05,-81.8,345,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,40,39,1,0.0007,0.02531,Transformer,Closed,35.11,-81.71,35.11,-81.71,138,0,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
59,41,40,1,0.00063,0.00392,Line,Closed,35.11,-81.71,35.11,-81.71,138,0,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,42,191,1,0.00637,0.05842,Line,Closed,33.64,-82.11,33.69,-81.85,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61,43,42,1,0.00054,0.00312,Line,Closed,33.64,-82.11,33.64,-82.11,138,0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,44,1,1,0.00548,0.05026,Line,Closed,34.29,-81.3,34.37,-81.09,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
63,44,200,1,0.00211,0.01931,Line,Closed,34.29,-81.3,34.22,-81.3,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
64,45,44,1,0.00064,0.00388,Line,Closed,34.29,-81.3,34.29,-81.3,138,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65,46,156,1,0.00661,0.06348,Line,Closed,34.76,-82.04,34.86,-82.3,345,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,47,46,1,0.0006,0.00345,Line,Closed,34.76,-82.04,34.76,-82.04,138,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,49,48,1,0.01331,0.27853,Transformer,Closed,34.26,-82.61,34.26,-82.61,138,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,50,48,1,0.00715,0.16356,Transformer,Closed,34.26,-82.61,34.26,-82.61,138,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
69,51,48,1,0.00066,0.00367,Line,Closed,34.26,-82.61,34.26,-82.61,138,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
70,52,48,1,0.00062,0.00334,Line,Closed,34.26,-82.61,34.26,-82.61,138,0,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
71,53,276,1,0.0015,0.01442,Line,Closed,33.95,-81.06,33.99,-81.03,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,54,53,1,0.00068,0.00306,Line,Closed,33.95,-81.06,33.95,-81.06,13.8,0,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
73,55,66,1,0.00433,0.04157,Line,Closed,33.97,-82.08,34.04,-82.23,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,55,500,1,0.00448,0.0411,Line,Closed,33.97,-82.08,33.93,-82.25,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,56,55,1,0.00064,0.00331,Line,Closed,33.97,-82.08,33.97,-82.08,138,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,57,123,1,0.00168,0.02443,Line,Closed,34.77,-82.23,35.01,-83,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
77,58,57,1,0.00012,0.01762,Transformer,Closed,34.77,-82.23,34.77,-82.23,138,0,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78,58,253,1,0.00453,0.04352,Line,Closed,34.77,-82.23,34.87,-82.36,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,58,57,2,0.00012,0.01762,Transformer,Closed,34.77,-82.23,34.77,-82.23,138,0,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,59,58,1,0.00062,0.00385,Line,Closed,34.77,-82.23,34.77,-82.23,345,0,252.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,60,131,1,0.00198,0.01821,Line,Closed,35.08,-81.86,35.05,-81.8,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
82,61,60,1,0.00053,0.00352,Line,Closed,35.08,-81.86,35.08,-81.86,13.8,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,62,3,1,0.00272,0.0261,Line,Closed,34.1,-80.79,34.14,-80.89,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,62,457,1,0.00727,0.06979,Line,Closed,34.1,-80.79,33.89,-80.64,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
85,63,62,1,0.0032,0.16353,Transformer,Closed,34.1,-80.79,34.1,-80.79,138,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
86,64,62,1,0.00066,0.00327,Line,Closed,34.1,-80.79,34.1,-80.79,138,0,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,65,297,1,0.00092,0.01319,Line,Closed,34.04,-82.23,34.41,-82.22,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
88,66,308,1,0.00718,0.06895,Line,Closed,34.04,-82.23,34.01,-82.52,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,66,65,1,0.00081,0.03088,Transformer,Closed,34.04,-82.23,34.04,-82.23,138,0,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,67,66,1,0.00066,0.00336,Line,Closed,34.04,-82.23,34.04,-82.23,138,0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
91,68,314,1,0.00181,0.01733,Line,Closed,34.65,-81.9,34.65,-81.84,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,68,295,1,0.00447,0.041,Line,Closed,34.65,-81.9,34.71,-81.74,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
93,69,68,1,0.00067,0.004,Line,Closed,34.65,-81.9,34.65,-81.9,138,0,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
94,70,490,1,0.00213,0.01951,Line,Closed,34.53,-82.37,34.46,-82.36,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
95,71,70,1,0.00103,0.04472,Transformer,Closed,34.53,-82.37,34.53,-82.37,138,0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
96,72,70,1,0.00292,0.14481,Transformer,Closed,34.53,-82.37,34.53,-82.37,138,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
97,73,70,1,0.0127,0.27303,Transformer,Closed,34.53,-82.37,34.53,-82.37,138,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
98,74,189,1,0.00563,0.05408,Line,Closed,33.51,-81.3,33.66,-81.42,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
99,75,74,1,0.00058,0.00334,Line,Closed,33.51,-81.3,33.51,-81.3,138,0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
100,76,37,1,0.00147,0.01416,Line,Closed,34.8,-80.98,34.77,-81.01,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
101,77,76,1,0.0007,0.00331,Line,Closed,34.8,-80.98,34.8,-80.98,138,0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
102,78,387,1,0.00235,0.02261,Line,Closed,34.73,-82.91,34.68,-82.84,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
103,78,328,1,0.00543,0.04983,Line,Closed,34.73,-82.91,34.64,-82.72,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
104,79,78,1,0.00062,0.00328,Line,Closed,34.73,-82.91,34.73,-82.91,138,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
105,80,65,1,0.00096,0.01377,Line,Closed,33.66,-82.2,34.04,-82.23,138,0,1493.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,81,42,1,0.00236,0.02166,Line,Closed,33.66,-82.2,33.64,-82.11,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
107,81,80,1,0.00065,0.03481,Transformer,Closed,33.66,-82.2,33.66,-82.2,138,0,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
108,82,80,1,0.00043,0.03113,Transformer,Closed,33.66,-82.2,33.66,-82.2,138,0,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
109,83,342,1,0.00412,0.03952,Line,Closed,34.31,-81.63,34.23,-81.77,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
110,83,33,1,0.00529,0.05076,Line,Closed,34.31,-81.63,34.15,-81.51,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
111,84,83,1,0.00064,0.00366,Line,Closed,34.31,-81.63,34.31,-81.63,138,0,105.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
112,86,85,1,0.00065,0.0039,Line,Closed,33.65,-81.6,33.65,-81.6,138,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,87,141,1,0.00185,0.01773,Line,Closed,34.94,-81.03,34.97,-81.08,138,0,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
114,87,143,1,0.00382,0.03504,Line,Closed,34.94,-81.03,35.05,-81.07,138,0,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
115,88,87,1,0.00062,0.00357,Line,Closed,34.94,-81.03,34.94,-81.03,138,0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
116,89,457,1,0.00901,0.08267,Line,Closed,33.58,-80.65,33.89,-80.64,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
117,89,187,1,0.00212,0.02032,Line,Closed,33.58,-80.65,33.53,-80.59,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
118,90,89,1,0.00055,0.00386,Line,Closed,33.58,-80.65,33.58,-80.65,138,0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
119,91,133,1,0.00504,0.0484,Line,Closed,34.64,-82.94,34.65,-83.15,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
120,92,91,1,0.00057,0.00362,Line,Closed,34.64,-82.94,34.64,-82.94,138,0,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,94,93,1,0.00054,0.00328,Line,Closed,34.44,-81.33,34.44,-81.33,138,0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
122,95,369,1,0.00409,0.03932,Line,Closed,34.78,-83.08,34.75,-82.93,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
123,95,170,1,0.00211,0.02027,Line,Closed,34.78,-83.08,34.78,-83.01,345,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
124,96,95,1,0.00056,0.00325,Line,Closed,34.78,-83.08,34.78,-83.08,138,0,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
125,98,97,1,0.00057,0.00399,Line,Closed,34.46,-82.76,34.46,-82.76,13.8,0,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
126,99,465,1,0.00269,0.02582,Line,Closed,34.9,-81.71,34.83,-81.65,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
127,100,99,1,0.00064,0.00362,Line,Closed,34.9,-81.71,34.9,-81.71,13.8,0,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
128,101,99,1,0.0007,0.00329,Line,Closed,34.9,-81.71,34.9,-81.71,13.8,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
129,102,308,1,0.00565,0.05425,Line,Closed,34.18,-82.43,34.01,-82.52,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
130,103,102,1,0.00061,0.00387,Line,Closed,34.18,-82.43,34.18,-82.43,138,0,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
131,104,191,1,0.00518,0.04749,Line,Closed,33.59,-81.7,33.69,-81.85,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
132,104,31,1,0.00553,0.05306,Line,Closed,33.59,-81.7,33.48,-81.51,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
133,105,104,1,0.00067,0.00375,Line,Closed,33.59,-81.7,33.59,-81.7,138,0,144.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
134,106,191,1,0.00447,0.0429,Line,Closed,33.84,-81.8,33.69,-81.85,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,107,106,1,0.00057,0.00321,Line,Closed,33.84,-81.8,33.84,-81.8,138,0,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
136,108,495,1,0.00361,0.03467,Line,Closed,34.89,-81.92,35,-81.96,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
137,108,472,1,0.00203,0.01952,Line,Closed,34.89,-81.92,34.88,-81.84,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
138,109,108,1,0.00066,0.00301,Line,Closed,34.89,-81.92,34.89,-81.92,138,0,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
139,110,316,1,0.00344,0.03302,Line,Closed,34.97,-81.59,34.95,-81.45,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
140,111,110,1,0.00053,0.00371,Line,Closed,34.97,-81.59,34.97,-81.59,138,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
141,112,499,1,0.00558,0.05115,Line,Closed,33.92,-81.45,33.89,-81.24,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
142,112,236,1,0.00633,0.06078,Line,Closed,33.92,-81.45,33.9,-81.71,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
143,112,283,1,0.00862,0.08276,Line,Closed,33.92,-81.45,34.04,-81.78,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
144,112,33,1,0.00706,0.06781,Line,Closed,33.92,-81.45,34.15,-81.51,13.8,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
145,113,112,1,0.00064,0.00312,Line,Closed,33.92,-81.45,33.92,-81.45,13.8,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
146,114,191,1,0.00556,0.05336,Line,Closed,33.51,-81.86,33.69,-81.85,345,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
147,114,312,1,0.00661,0.06346,Line,Closed,33.51,-81.86,33.3,-81.8,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
148,115,114,1,0.00051,0.00336,Line,Closed,33.51,-81.86,33.51,-81.86,138,0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
149,116,114,1,0.00051,0.00341,Line,Closed,33.51,-81.86,33.51,-81.86,138,0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
150,117,426,1,0.00317,0.0291,Line,Closed,34.36,-82.34,34.31,-82.23,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
151,118,117,1,0.00063,0.00385,Line,Closed,34.36,-82.34,34.36,-82.34,345,0,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
152,119,129,1,0.00235,0.02155,Line,Closed,34.85,-82.4,34.77,-82.38,138,0,320.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
