,BusNum,BusKVVolt,BusName,Latitude:1,Longitude:1,SubNum,BusNomVolt
36,36,143.58751,NORTH AUGUSTA 2 1,33.61,-81.98,1,138
37,37,141.20162,LANDO 0,34.77,-81.01,1,138
38,38,141.20144,LANDO 1,34.77,-81.01,1,138
39,39,358.96311,GAFFNEY 3 0,35.11,-81.71,1,345
40,40,143.16598,GAFFNEY 3 1,35.11,-81.71,1,138
41,41,143.09201,GAFFNEY 3 2,35.11,-81.71,1,138
42,42,144.16393,CLARKS HILL 2 0,33.64,-82.11,1,138
43,43,144.15831,CLARKS HILL 2 1,33.64,-82.11,1,138
44,44,141.80095,JENKINSVILLE 0,34.29,-81.3,1,138
45,45,141.79773,JENKINSVILLE 1,34.29,-81.3,1,138
46,46,141.2759,WOODRUFF 0,34.76,-82.04,1,138
47,47,141.22497,WOODRUFF 1,34.76,-82.04,1,138
48,48,144.96238,IVA 0,34.26,-82.61,1,138
49,49,14.49263,IVA 1,34.26,-82.61,1,13.8
50,50,14.49175,IVA 2,34.26,-82.61,1,13.8
51,51,144.96185,IVA 3,34.26,-82.61,1,138
52,52,144.93011,IVA 4,34.26,-82.61,1,138
53,53,141.5223,CAYCE 0,33.95,-81.06,1,138
54,54,141.47278,CAYCE 1,33.95,-81.06,1,138
55,55,144.29557,TROY 0,33.97,-82.08,1,138
56,56,144.29243,TROY 1,33.97,-82.08,1,138
57,57,360.11473,SIMPSONVILLE 2 0,34.77,-82.23,1,345
58,58,144.31309,SIMPSONVILLE 2 1,34.77,-82.23,1,138
59,59,144.13902,SIMPSONVILLE 2 2,34.77,-82.23,1,138
60,60,142.95719,MAYO 0,35.08,-81.86,1,138
61,61,142.95696,MAYO 1,35.08,-81.86,1,138
62,62,141.20043,BELTON 2 0,34.1,-80.79,1,138
63,63,14.12004,BELTON 2 1,34.1,-80.79,1,13.8
64,64,141.1496,BELTON 2 2,34.1,-80.79,1,138
65,65,360.86357,BRADLEY 0,34.04,-82.23,1,345
66,66,144.40008,BRADLEY 1,34.04,-82.23,1,138
67,67,144.39357,BRADLEY 2,34.04,-82.23,1,138
68,68,145.48165,ENOREE 0,34.65,-81.9,1,138
69,69,145.45966,ENOREE 1,34.65,-81.9,1,138
70,70,143.43974,HONEA PATH 2 0,34.53,-82.37,1,138
71,71,14.352,HONEA PATH 2 1,34.53,-82.37,1,13.8
72,72,14.352,HONEA PATH 2 2,34.53,-82.37,1,13.8
73,73,14.352,HONEA PATH 2 3,34.53,-82.37,1,13.8
74,74,144.96624,SPRINGFIELD 0,33.51,-81.3,1,138
75,75,144.95899,SPRINGFIELD 1,33.51,-81.3,1,138
76,76,141.02696,EDGEMOOR 0,34.8,-80.98,1,138
77,77,141.01689,EDGEMOOR 1,34.8,-80.98,1,138
78,78,143.44258,NEWRY 0,34.73,-82.91,1,138
79,79,143.44208,NEWRY 1,34.73,-82.91,1,138
80,80,360.46184,CLARKS HILL 1 0,33.66,-82.2,1,345
81,81,144.24294,CLARKS HILL 1 1,33.66,-82.2,1,138
82,82,14.352,CLARKS HILL 1 2,33.66,-82.2,1,13.8
83,83,141.5992,NEWBERRY 0,34.31,-81.63,1,138
84,84,141.50655,NEWBERRY 1,34.31,-81.63,1,138
85,85,144.7673,AIKEN 3 0,33.65,-81.6,1,138
86,86,144.74009,AIKEN 3 1,33.65,-81.6,1,138
87,87,140.89777,ROCK HILL 3 0,34.94,-81.03,1,138
88,88,140.89018,ROCK HILL 3 1,34.94,-81.03,1,138
89,89,142.0588,CAMERON 0,33.58,-80.65,1,138
90,90,142.04996,CAMERON 1,33.58,-80.65,1,138
91,91,142.7195,SENECA 2 0,34.64,-82.94,1,138
92,92,142.63122,SENECA 2 1,34.64,-82.94,1,138
93,93,141.49384,BLAIR 0,34.44,-81.33,1,138
94,94,141.48686,BLAIR 1,34.44,-81.33,1,138
95,95,142.76341,WALHALLA 0,34.78,-83.08,1,138
96,96,142.7205,WALHALLA 1,34.78,-83.08,1,138
97,97,146.20318,ANDERSON 4 0,34.46,-82.76,1,138
98,98,146.15101,ANDERSON 4 1,34.46,-82.76,1,138
99,99,143.50514,PACOLET 0,34.9,-81.71,1,138
100,100,143.48865,PACOLET 1,34.9,-81.71,1,138
101,101,143.50408,PACOLET 2,34.9,-81.71,1,138
102,102,144.17683,ABBEVILLE 0,34.18,-82.43,1,138
103,103,144.11814,ABBEVILLE 1,34.18,-82.43,1,138
104,104,144.34659,AIKEN 2 0,33.59,-81.7,1,138
105,105,144.22315,AIKEN 2 1,33.59,-81.7,1,138
106,106,143.60804,JOHNSTON 0,33.84,-81.8,1,138
107,107,143.58696,JOHNSTON 1,33.84,-81.8,1,138
108,108,142.82507,SPARTANBURG 6 0,34.89,-81.92,1,138
109,109,142.77213,SPARTANBURG 6 1,34.89,-81.92,1,138
110,110,143.93496,GAFFNEY 2 0,34.97,-81.59,1,138
111,111,143.86354,GAFFNEY 2 1,34.97,-81.59,1,138
112,112,142.31118,LEESVILLE 0,33.92,-81.45,1,138
113,113,142.24802,LEESVILLE 1,33.92,-81.45,1,138
114,114,144.05419,LANGLEY 0,33.51,-81.86,1,138
115,115,144.04767,LANGLEY 1,33.51,-81.86,1,138
116,116,144.05016,LANGLEY 2,33.51,-81.86,1,138
117,117,143.74245,DONALDS 0,34.36,-82.34,1,138
118,118,143.72896,DONALDS 1,34.36,-82.34,1,138
119,119,143.90591,GREENVILLE 7 0,34.85,-82.4,1,138
120,120,143.87336,GREENVILLE 7 1,34.85,-82.4,1,138
121,121,141.25853,COLUMBIA 9 0,34.03,-80.96,1,138
122,122,141.17812,COLUMBIA 9 1,34.03,-80.96,1,138
123,123,359.42387,SALEM 3 0,35.01,-83,1,345
124,124,143.70179,SALEM 3 1,35.01,-83,1,138
125,125,14.37696,SALEM 3 2,35.01,-83,1,13.8
126,126,14.37696,SALEM 3 3,35.01,-83,1,13.8
127,127,14.352,SALEM 3 4,35.01,-83,1,13.8
128,128,14.36095,SALEM 3 5,35.01,-83,1,13.8
129,129,144.52369,GREENVILLE 6 0,34.77,-82.38,1,138
130,130,144.40352,GREENVILLE 6 1,34.77,-82.38,1,138
131,131,143.01762,COWPENS 0,35.05,-81.8,1,138
132,132,142.98624,COWPENS 1,35.05,-81.8,1,138
133,133,142.85387,WESTMINSTER 2 0,34.65,-83.15,1,138
134,134,142.80358,WESTMINSTER 2 1,34.65,-83.15,1,138
135,135,141.80499,SAINT MATTHEWS 0,33.69,-80.79,1,138
136,136,141.76629,SAINT MATTHEWS 1,33.69,-80.79,1,138
137,137,143.32778,GREENWOOD 2 0,34.24,-82.15,1,138
138,138,143.21377,GREENWOOD 2 1,34.24,-82.15,1,138
139,139,142.7928,FINGERVILLE 0,35.14,-82,1,138
140,140,142.79251,FINGERVILLE 1,35.14,-82,1,138
141,141,141.21759,ROCK HILL 2 0,34.97,-81.08,1,138
142,142,140.98014,ROCK HILL 2 1,34.97,-81.08,1,138
143,143,142.22752,YORK 2 0,35.05,-81.07,1,138
144,144,14.352,YORK 2 1,35.05,-81.07,1,13.8
145,145,14.352,YORK 2 2,35.05,-81.07,1,13.8
146,146,357.17282,CHAPIN 0,34.13,-81.34,1,345
147,147,141.54992,CHAPIN 1,34.13,-81.34,1,138
148,148,141.46021,CHAPIN 2,34.13,-81.34,1,138
149,149,144.13002,MODOC 0,33.75,-82.15,1,138
150,150,144.12773,MODOC 1,33.75,-82.15,1,138
151,151,358.62191,SPARTANBURG 5 0,34.93,-82.01,1,345
152,152,142.52826,SPARTANBURG 5 1,34.93,-82.01,1,138
153,153,142.43148,SPARTANBURG 5 2,34.93,-82.01,1,138
154,154,142.28844,BOILING SPRINGS 0,35.04,-81.98,1,138
155,155,142.22022,BOILING SPRINGS 1,35.04,-81.98,1,138
156,156,140.68374,GREENVILLE 5 0,34.86,-82.3,1,138
157,157,140.55798,GREENVILLE 5 1,34.86,-82.3,1,138
158,158,141.20644,PELION 0,33.76,-81.27,1,138
159,159,141.17089,PELION 1,33.76,-81.27,1,138
160,160,143.44917,GRANITEVILLE 0,33.57,-81.86,1,138
161,161,143.41309,GRANITEVILLE 1,33.57,-81.86,1,138
162,162,357.22764,IRMO 0,34.14,-81.21,1,345
163,163,142.53579,IRMO 1,34.14,-81.21,1,138
164,164,142.37664,IRMO 2,34.14,-81.21,1,138
165,165,359.26677,SALEM 2 0,34.96,-82.91,1,345
166,166,143.69138,SALEM 2 1,34.96,-82.91,1,138
167,167,14.352,SALEM 2 2,34.96,-82.91,1,13.8
168,168,14.352,SALEM 2 3,34.96,-82.91,1,13.8
169,169,14.352,SALEM 2 4,34.96,-82.91,1,13.8
170,170,142.74334,WEST UNION 0,34.78,-83.01,1,138
171,171,142.72677,WEST UNION 1,34.78,-83.01,1,138
172,172,143.07159,CROSS HILL 0,34.37,-81.96,1,138
173,173,143.06721,CROSS HILL 1,34.37,-81.96,1,138
174,174,143.06216,CROSS HILL 2,34.37,-81.96,1,138
175,175,358.29553,FORT LAWN 0,34.71,-80.92,1,345
176,176,141.77772,FORT LAWN 1,34.71,-80.92,1,138
177,177,141.76545,FORT LAWN 2,34.71,-80.92,1,138
178,178,141.76823,FORT LAWN 3,34.71,-80.92,1,138
179,179,140.72809,NORTH 0,33.63,-81.08,1,138
180,180,140.70682,NORTH 1,33.63,-81.08,1,138
181,181,147.17917,ANDERSON 3 0,34.56,-82.76,1,138
182,182,147.06431,ANDERSON 3 1,34.56,-82.76,1,138
183,183,141.85005,BLACKSBURG 2 0,35.12,-81.47,1,138
184,184,141.81302,BLACKSBURG 2 1,35.12,-81.47,1,138
185,185,143.32343,LIBERTY 0,34.77,-82.69,1,138
186,186,143.26845,LIBERTY 1,34.77,-82.69,1,138
187,187,141.99231,ELLOREE 0,33.53,-80.59,1,138
188,188,141.97654,ELLOREE 1,33.53,-80.59,1,138
189,189,145.47184,WAGENER 0,33.66,-81.42,1,138
190,190,145.45275,WAGENER 1,33.66,-81.42,1,138
191,191,144.00632,TRENTON 0,33.69,-81.85,1,138
192,192,143.98084,TRENTON 1,33.69,-81.85,1,138
193,193,142.63543,BATESBURG 0,33.87,-81.55,1,138
194,194,142.58991,BATESBURG 1,33.87,-81.55,1,138
195,195,357.23342,COLUMBIA 8 0,34.06,-81.22,1,345
196,196,142.19213,COLUMBIA 8 1,34.06,-81.22,1,138
197,197,14.352,COLUMBIA 8 2,34.06,-81.22,1,13.8
198,198,14.352,COLUMBIA 8 3,34.06,-81.22,1,13.8
199,199,142.06308,COLUMBIA 8 4,34.06,-81.22,1,138
200,200,142.05162,LITTLE MOUNTAIN 0,34.22,-81.3,1,138
201,201,142.03874,LITTLE MOUNTAIN 1,34.22,-81.3,1,138
202,202,142.59652,CLINTON 0,34.42,-81.81,1,138
203,203,142.58952,CLINTON 1,34.42,-81.81,1,138
204,204,142.52906,CLINTON 2,34.42,-81.81,1,138
205,205,144.52592,WARRENVILLE 0,33.52,-81.83,1,138
206,206,144.52217,WARRENVILLE 1,33.52,-81.83,1,138
207,207,144.49203,WARRENVILLE 2,33.52,-81.83,1,138
208,208,147.24906,SIMPSONVILLE 1 0,34.69,-82.29,1,138
209,209,147.16055,SIMPSONVILLE 1 1,34.69,-82.29,1,138
210,210,142.02866,DUNCAN 0,34.86,-82.11,1,138
211,211,141.98435,DUNCAN 1,34.86,-82.11,1,138
212,212,143.39246,NORTH AUGUSTA 1 0,33.53,-81.94,1,138
213,213,143.2472,NORTH AUGUSTA 1 1,33.53,-81.94,1,138
214,214,142.58997,GREENWOOD 1 0,34.14,-82.15,1,138
215,215,142.46461,GREENWOOD 1 1,34.14,-82.15,1,138
216,216,143.31235,BELTON 1 0,34.52,-82.48,1,138
217,217,143.25282,BELTON 1 1,34.52,-82.48,1,138
218,218,144.688,VAUCLUSE 0,33.61,-81.82,1,138
219,219,144.68752,VAUCLUSE 1,33.61,-81.82,1,138
220,220,358.91516,UNION 3 0,34.66,-81.45,1,345
221,221,143.23451,UNION 3 1,34.66,-81.45,1,138
222,222,14.35596,UNION 3 2,34.66,-81.45,1,13.8
223,223,14.35343,UNION 3 3,34.66,-81.45,1,13.8
224,224,14.352,UNION 3 4,34.66,-81.45,1,13.8
225,225,14.352,UNION 3 5,34.66,-81.45,1,13.8
226,226,142.80846,MOUNTAIN REST 0,34.86,-83.16,1,138
227,227,142.80101,MOUNTAIN REST 1,34.86,-83.16,1,138
228,228,143.39066,PICKENS 0,34.93,-82.73,1,138
229,229,143.31711,PICKENS 1,34.93,-82.73,1,138
230,230,145.18202,WESTMINSTER 1 0,34.44,-83.05,1,138
231,231,14.51066,WESTMINSTER 1 1,34.44,-83.05,1,13.8
232,232,357.08936,WEST COLUMBIA 3 0,33.94,-81.15,1,345
233,233,141.8251,WEST COLUMBIA 3 1,33.94,-81.15,1,138
234,234,141.74189,WEST COLUMBIA 3 2,33.94,-81.15,1,138
235,235,359.96388,WARD 0,33.9,-81.71,1,345
236,236,143.45258,WARD 1,33.9,-81.71,1,138
237,237,143.44861,WARD 2,33.9,-81.71,1,138
238,238,141.88355,MOORE 0,34.87,-82.02,1,138
239,239,141.83921,MOORE 1,34.87,-82.02,1,138
240,240,144.56959,WILLISTON 0,33.4,-81.42,1,138
241,241,144.54064,WILLISTON 1,33.4,-81.42,1,138
242,242,143.10161,COLUMBIA 7 0,33.99,-81,1,138
243,243,142.98991,COLUMBIA 7 1,33.99,-81,1,138
244,244,143.51852,WATERLOO 0,34.34,-82.09,1,138
245,245,143.50283,WATERLOO 1,34.34,-82.09,1,138
246,246,359.24887,BLACKSBURG 1 0,35.16,-81.43,1,345
247,247,141.40469,BLACKSBURG 1 1,35.16,-81.43,1,138
248,248,14.36996,BLACKSBURG 1 2,35.16,-81.43,1,13.8
249,249,14.36996,BLACKSBURG 1 3,35.16,-81.43,1,13.8
250,250,14.36996,BLACKSBURG 1 4,35.16,-81.43,1,13.8
251,251,142.10036,TAYLORS 0,34.99,-82.33,1,138
252,252,141.94758,TAYLORS 1,34.99,-82.33,1,138
253,253,143.61027,GREENVILLE 4 0,34.87,-82.36,1,138
254,254,14.36103,GREENVILLE 4 1,34.87,-82.36,1,13.8
255,255,14.36103,GREENVILLE 4 2,34.87,-82.36,1,13.8
256,256,14.36103,GREENVILLE 4 3,34.87,-82.36,1,13.8
257,257,14.36103,GREENVILLE 4 4,34.87,-82.36,1,13.8
258,258,14.35773,GREENVILLE 4 5,34.87,-82.36,1,13.8
259,259,143.60043,GREENVILLE 4 6,34.87,-82.36,1,138
260,260,143.64753,SALEM 1 0,34.95,-82.98,1,138
261,261,143.62365,SALEM 1 1,34.95,-82.98,1,138
262,262,356.7922,COLUMBIA 6 0,33.98,-81.04,1,345
263,263,141.66448,COLUMBIA 6 1,33.98,-81.04,1,138
264,264,14.27169,COLUMBIA 6 2,33.98,-81.04,1,13.8
265,265,14.27169,COLUMBIA 6 3,33.98,-81.04,1,13.8
266,266,141.57764,COLUMBIA 6 4,33.98,-81.04,1,138
267,267,144.19409,AIKEN 1 0,33.42,-81.69,1,138
268,268,144.03709,AIKEN 1 1,33.42,-81.69,1,138
269,269,141.45191,POMARIA 0,34.33,-81.42,1,138
270,270,141.44152,POMARIA 1,34.33,-81.42,1,138
271,271,359.94895,RIDGE SPRING 0,33.78,-81.68,1,345
272,272,143.88793,RIDGE SPRING 1,33.78,-81.68,1,138
273,273,143.87368,RIDGE SPRING 2,33.78,-81.68,1,138
274,274,143.00067,GAFFNEY 1 0,35.07,-81.61,1,138
275,275,14.30007,GAFFNEY 1 1,35.07,-81.61,1,13.8
276,276,141.50662,COLUMBIA 5 0,33.99,-81.03,1,138
277,277,141.50603,COLUMBIA 5 1,33.99,-81.03,1,138
278,278,141.49809,COLUMBIA 5 2,33.99,-81.03,1,138
279,279,142.79508,MARIETTA 0,35.15,-82.53,1,138
280,280,142.77573,MARIETTA 1,35.15,-82.53,1,138
281,281,144.14311,ANDERSON 2 0,34.51,-82.61,1,138
282,282,143.98853,ANDERSON 2 1,34.51,-82.61,1,138
283,283,142.83707,SALUDA 0,34.04,-81.78,1,138
284,284,142.78536,SALUDA 1,34.04,-81.78,1,138
285,285,145.69828,FAIR PLAY 0,34.52,-83,1,138
286,286,145.68729,FAIR PLAY 1,34.52,-83,1,138
287,287,141.72282,HOPKINS 0,33.94,-80.69,1,138
288,288,141.63863,HOPKINS 1,33.94,-80.69,1,138
289,289,143.50127,SUNSET 0,34.99,-82.84,1,138
290,290,143.49623,SUNSET 1,34.99,-82.84,1,138
291,291,140.97326,SALLEY 0,33.6,-81.32,1,138
292,292,140.9628,SALLEY 1,33.6,-81.32,1,138
293,293,143.90301,EDGEFIELD 0,33.82,-82,1,138
294,294,143.86716,EDGEFIELD 1,33.82,-82,1,138
295,295,144.59331,BUFFALO 0,34.71,-81.74,1,138
296,296,144.58484,BUFFALO 1,34.71,-81.74,1,138
297,297,360.36668,WARE SHOALS 0,34.41,-82.22,1,345
298,298,144.14391,WARE SHOALS 1,34.41,-82.22,1,138
299,299,144.12373,WARE SHOALS 2,34.41,-82.22,1,138
300,300,141.72898,YORK 1 0,34.97,-81.19,1,138
301,301,14.18856,YORK 1 1,34.97,-81.19,1,13.8
302,302,14.1885,YORK 1 2,34.97,-81.19,1,13.8
303,303,141.59294,YORK 1 3,34.97,-81.19,1,138
304,304,143.76221,PIEDMONT 0,34.7,-82.46,1,138
305,305,14.37365,PIEDMONT 1,34.7,-82.46,1,13.8
306,306,14.37283,PIEDMONT 2,34.7,-82.46,1,13.8
307,307,143.67815,PIEDMONT 3,34.7,-82.46,1,138
308,308,144.25246,CALHOUN FALLS 0,34.01,-82.52,1,138
309,309,144.23819,CALHOUN FALLS 1,34.01,-82.52,1,138
310,310,145.51606,ANDERSON 1 0,34.44,-82.62,1,138
311,311,145.45632,ANDERSON 1 1,34.44,-82.62,1,138
312,312,144.12067,JACKSON 0,33.3,-81.8,1,138
313,313,144.10123,JACKSON 1,33.3,-81.8,1,138
314,314,145.16951,CROSS ANCHOR 0,34.65,-81.84,1,138
315,315,145.16907,CROSS ANCHOR 1,34.65,-81.84,1,138
316,316,143.12838,HICKORY GROVE 0,34.95,-81.45,1,138
317,317,143.12335,HICKORY GROVE 1,34.95,-81.45,1,138
318,318,142.02071,GREAT FALLS 2 0,34.6,-80.89,1,138
319,319,14.352,GREAT FALLS 2 1,34.6,-80.89,1,13.8
320,320,141.5142,COLUMBIA 4 0,34.09,-80.97,1,138
321,321,141.28578,COLUMBIA 4 1,34.09,-80.97,1,138
322,322,144.79907,MAULDIN 0,34.78,-82.3,1,138
323,323,144.7489,MAULDIN 1,34.78,-82.3,1,138
324,324,144.44508,GREENVILLE 3 0,34.81,-82.33,1,138
325,325,144.32685,GREENVILLE 3 1,34.81,-82.33,1,138
326,326,141.13015,COLUMBIA 3 0,34.05,-81.11,1,138
327,327,140.96556,COLUMBIA 3 1,34.05,-81.11,1,138
328,328,143.4844,PENDLETON 0,34.64,-82.72,1,138
329,329,143.45328,PENDLETON 1,34.64,-82.72,1,138
330,330,142.73282,SPARTANBURG 4 0,34.95,-81.84,1,138
331,331,142.66281,SPARTANBURG 4 1,34.95,-81.84,1,138
332,332,359.16551,CONVERSE 0,34.98,-81.83,1,345
333,333,143.08922,CONVERSE 1,34.98,-81.83,1,138
334,334,143.08865,CONVERSE 2,34.98,-81.83,1,138
335,335,143.08823,CONVERSE 3,34.98,-81.83,1,138
336,336,141.66278,BLACKSTOCK 0,34.52,-81.11,1,138
337,337,141.65447,BLACKSTOCK 1,34.52,-81.11,1,138
338,338,141.57616,FORT MILL 3 0,35.05,-80.99,1,138
339,339,141.47113,FORT MILL 3 1,35.05,-80.99,1,138
340,340,142.39302,LANDRUM 0,35.14,-82.28,1,138
341,341,142.36286,LANDRUM 1,35.14,-82.28,1,138
342,342,142.2773,SILVERSTREET 0,34.23,-81.77,1,138
343,343,142.27369,SILVERSTREET 1,34.23,-81.77,1,138
344,344,142.27367,SILVERSTREET 2,34.23,-81.77,1,138
345,345,140.56624,ORANGEBURG 0,33.57,-80.89,1,138
346,346,140.50217,ORANGEBURG 1,33.57,-80.89,1,138
347,347,143.03099,GREENVILLE 2 0,34.83,-82.46,1,138
348,348,142.93897,GREENVILLE 2 1,34.83,-82.46,1,138
349,349,143.00944,CHAPPELLS 1 0,34.17,-81.9,1,138
350,350,14.352,CHAPPELLS 1 1,34.17,-81.9,1,13.8
351,351,14.32701,CHAPPELLS 1 2,34.17,-81.9,1,13.8
352,352,14.352,CHAPPELLS 1 3,34.17,-81.9,1,13.8
353,353,14.352,CHAPPELLS 1 4,34.17,-81.9,1,13.8
354,354,142.0738,RIDGEWAY 2 0,34.33,-80.88,1,138
355,355,142.04185,RIDGEWAY 2 1,34.33,-80.88,1,138
356,356,147.10375,FOUNTAIN INN 0,34.67,-82.19,1,138
357,357,147.04382,FOUNTAIN INN 1,34.67,-82.19,1,138
358,358,145.63039,STARR 0,34.38,-82.72,1,138
359,359,145.60913,STARR 1,34.38,-82.72,1,138
360,360,142.55051,SPARTANBURG 3 0,35,-82.13,1,138
361,361,14.25505,SPARTANBURG 3 1,35,-82.13,1,13.8
362,362,14.25505,SPARTANBURG 3 2,35,-82.13,1,13.8
363,363,14.25505,SPARTANBURG 3 3,35,-82.13,1,13.8
364,364,142.51655,SPARTANBURG 3 4,35,-82.13,1,138
365,365,140.99241,GASTON 2 0,33.83,-81.09,1,138
366,366,140.90687,GASTON 2 1,33.83,-81.09,1,138
367,367,143.29603,SIX MILE 0,34.83,-82.85,1,138
368,368,143.28221,SIX MILE 1,34.83,-82.85,1,138
369,369,143.19428,SENECA 1 0,34.75,-82.93,1,138
370,370,143.15087,SENECA 1 1,34.75,-82.93,1,138
371,371,357.1112,GILBERT 0,33.94,-81.38,1,345
372,372,142.512,GILBERT 1,33.94,-81.38,1,138
373,373,142.4731,GILBERT 2,33.94,-81.38,1,138
374,374,140.76293,SWANSEA 0,33.75,-81.04,1,138
375,375,140.7321,SWANSEA 1,33.75,-81.04,1,138
376,376,142.39992,INMAN 0,35.07,-82.07,1,138
377,377,142.30335,INMAN 1,35.07,-82.07,1,138
378,378,141.9159,GREAT FALLS 1 0,34.57,-80.91,1,138
379,379,141.89685,GREAT FALLS 1 1,34.57,-80.91,1,138
380,380,142.79767,WHITMIRE 0,34.49,-81.6,1,138
381,381,142.78621,WHITMIRE 1,34.49,-81.6,1,138
382,382,147.32919,GRAY COURT 0,34.59,-82.12,1,138
383,383,147.29616,GRAY COURT 1,34.59,-82.12,1,138
384,384,143.82387,WILLIAMSTON 2 0,34.63,-82.55,1,138
385,385,143.7852,WILLIAMSTON 2 1,34.63,-82.55,1,138
386,386,358.95283,CLEMSON 0,34.68,-82.84,1,345
387,387,143.51527,CLEMSON 1,34.68,-82.84,1,138
388,388,14.35811,CLEMSON 2,34.68,-82.84,1,13.8
389,389,14.352,CLEMSON 3,34.68,-82.84,1,13.8
390,390,14.352,CLEMSON 4,34.68,-82.84,1,13.8
391,391,14.352,CLEMSON 5,34.68,-82.84,1,13.8
392,392,14.35811,CLEMSON 6,34.68,-82.84,1,13.8
393,393,14.35811,CLEMSON 7,34.68,-82.84,1,13.8
394,394,14.35811,CLEMSON 8,34.68,-82.84,1,13.8
395,395,14.352,CLEMSON 9,34.68,-82.84,1,13.8
396,396,14.35811,CLEMSON 10,34.68,-82.84,1,13.8
397,397,143.46638,CLEMSON 11,34.68,-82.84,1,138
398,398,143.49291,CLEMSON 12,34.68,-82.84,1,138
399,399,143.80884,BEECH ISLAND 2 0,33.45,-81.86,1,138
400,400,143.77172,BEECH ISLAND 2 1,33.45,-81.86,1,138
401,401,141.47605,CLOVER 0,35.11,-81.22,1,138
402,402,141.35435,CLOVER 1,35.11,-81.22,1,138
403,403,142.76453,NINETY SIX 0,34.11,-81.98,1,138
404,404,142.73631,NINETY SIX 1,34.11,-81.98,1,138
405,405,141.38308,MC CONNELLS 0,34.86,-81.24,1,138
406,406,141.37572,MC CONNELLS 1,34.86,-81.24,1,138
407,407,359.85853,BEECH ISLAND 1 0,33.44,-81.91,1,345
408,408,143.86953,BEECH ISLAND 1 1,33.44,-81.91,1,138
409,409,14.39434,BEECH ISLAND 1 2,33.44,-81.91,1,13.8
410,410,14.352,BEECH ISLAND 1 3,33.44,-81.91,1,13.8
411,411,14.352,BEECH ISLAND 1 4,33.44,-81.91,1,13.8
412,412,14.352,BEECH ISLAND 1 5,33.44,-81.91,1,13.8
413,413,14.352,BEECH ISLAND 1 6,33.44,-81.91,1,13.8
414,414,14.39434,BEECH ISLAND 1 7,33.44,-81.91,1,13.8
415,415,141.29003,GADSDEN 0,33.8,-80.74,1,138
416,416,141.28108,GADSDEN 1,33.8,-80.74,1,138
417,417,142.98991,TRAVELERS REST 0,35.03,-82.49,1,138
418,418,142.91374,TRAVELERS REST 1,35.03,-82.49,1,138
419,419,144.52327,DUE WEST 0,34.3,-82.43,1,138
420,420,144.51579,DUE WEST 1,34.3,-82.43,1,138
421,421,141.2757,BLYTHEWOOD 0,34.2,-81,1,138
422,422,141.20748,BLYTHEWOOD 1,34.2,-81,1,138
423,423,140.48452,ROCK HILL 1 0,34.89,-81.02,1,138
424,424,140.23512,ROCK HILL 1 1,34.89,-81.02,1,138
425,425,360.31792,HODGES 0,34.31,-82.23,1,345
426,426,144.08274,HODGES 1,34.31,-82.23,1,138
427,427,144.06309,HODGES 2,34.31,-82.23,1,138
428,428,358.75758,CHESNEE 2 0,35.11,-81.97,1,345
