,BusNum,LoadID,LoadMW,LoadMVR,LoadStatus,Latitude:1,Longitude:1,BusNomVolt
106,139,2,1.7,0.48,Closed,40.74,-89.03,69
107,140,1,12.03,3.43,Closed,40.51,-89.48,69
108,141,1,2.08,0.59,Closed,40.67,-89.61,69
109,142,1,54.59,15.56,Closed,40.76,-89.6,69
110,143,1,42.36,12.07,Closed,40.14,-88.31,69
111,144,1,13.26,3.78,Closed,40.71,-89.26,69
112,145,1,2.26,0.64,Closed,39.67,-89.83,69
113,145,2,24.15,6.88,Closed,39.67,-89.83,69
114,148,1,46.91,13.37,Closed,40.7,-89.42,69
115,157,1,21.62,6.16,Closed,40.63,-89.69,69
116,158,1,14.19,4.04,Closed,39.72,-88.84,69
117,159,1,2.2,0.63,Closed,39.93,-89.4,69
118,162,1,2.12,0.6,Closed,40.63,-89.22,69
119,163,1,72.46,20.65,Closed,40.11,-88.24,69
120,171,1,5.65,1.61,Closed,40.33,-88.53,69
121,171,2,5.16,1.47,Closed,40.33,-88.53,69
122,172,1,1.71,0.49,Closed,39.92,-87.91,69
123,172,2,3.61,1.03,Closed,39.92,-87.91,69
124,172,3,3.19,0.91,Closed,39.92,-87.91,69
125,173,1,1.6,0.45,Closed,39.91,-88.28,69
126,173,2,12.19,3.47,Closed,39.91,-88.28,69
127,174,1,2.44,0.7,Closed,40.09,-88.48,69
128,174,2,1.94,0.55,Closed,40.09,-88.48,69
129,175,1,3.36,0.96,Closed,39.98,-88.15,69
130,175,2,8.2,2.34,Closed,39.98,-88.15,69
131,176,1,28.62,8.16,Closed,39.77,-89.73,69
132,177,1,1.92,0.55,Closed,40.43,-89.2,69
133,177,2,4.18,1.19,Closed,40.43,-89.2,69
134,177,3,9.31,2.65,Closed,40.43,-89.2,69
135,179,1,37.35,10.64,Closed,40.13,-88.16,69
136,180,1,12.25,3.49,Closed,40.13,-88.04,69
137,181,1,2.28,0.65,Closed,39.81,-89.64,69
138,181,2,73.68,21,Closed,39.81,-89.64,69
139,184,1,0.85,0.24,Closed,39.96,-88.43,69
140,184,2,1.49,0.42,Closed,39.96,-88.43,69
141,184,3,14.57,4.15,Closed,39.96,-88.43,69
142,185,1,2.86,0.81,Closed,39.56,-89.68,69
143,185,2,1.7,0.48,Closed,39.56,-89.68,69
144,185,3,11.69,3.33,Closed,39.56,-89.68,69
145,186,1,3.08,0.88,Closed,40.42,-89.44,69
146,190,1,22.86,6.51,Closed,40.21,-88.42,69
147,191,1,1.16,0.33,Closed,39.71,-87.9,69
148,191,2,4.06,1.16,Closed,39.71,-87.9,69
149,191,3,0.51,0.15,Closed,39.71,-87.9,69
150,191,4,5.7,1.63,Closed,39.71,-87.9,69
151,192,1,71.97,20.51,Closed,40.48,-88.99,69
152,193,1,32.21,9.18,Closed,40.68,-89.63,69
153,194,1,56.57,16.12,Closed,39.76,-89.63,69
154,198,1,7.87,2.24,Closed,40.56,-89.76,69
155,199,1,3.06,0.87,Closed,40.31,-87.96,69
156,199,2,2.74,0.78,Closed,40.31,-87.96,69
157,200,1,1.12,0.32,Closed,40.17,-89.99,69
158,200,2,1.51,0.43,Closed,40.17,-89.99,69
159,200,3,12.16,3.47,Closed,40.17,-89.99,69
